score, centers, sigma, kmax
0.941000,90.000000,0.100000,4700.000000
0.941000,70.000000,0.400000,4300.000000
0.941000,50.000000,0.300000,2500.000000
0.941000,60.000000,0.300000,3200.000000
0.941000,70.000000,0.300000,3600.000000
0.941000,100.000000,0.100000,2400.000000
0.941000,70.000000,0.300000,1800.000000
0.941000,70.000000,0.300000,2600.000000
0.941000,90.000000,0.300000,3500.000000
0.941000,70.000000,0.300000,1900.000000
0.940000,100.000000,0.100000,2200.000000
0.940000,90.000000,0.400000,3200.000000
0.940000,100.000000,0.400000,4200.000000
0.940000,100.000000,0.400000,4300.000000
0.940000,70.000000,0.300000,3500.000000
0.940000,100.000000,0.300000,1800.000000
0.940000,80.000000,0.400000,3100.000000
0.940000,50.000000,0.200000,4900.000000
0.940000,50.000000,0.200000,2600.000000
0.939000,90.000000,0.300000,2400.000000
0.939000,100.000000,0.400000,4400.000000
0.939000,50.000000,0.400000,4200.000000
0.939000,50.000000,0.400000,3100.000000
0.939000,30.000000,0.200000,4700.000000
0.939000,40.000000,0.300000,1300.000000
0.939000,40.000000,0.300000,1600.000000
0.939000,60.000000,0.200000,4500.000000
0.939000,60.000000,0.300000,3600.000000
0.939000,80.000000,0.300000,900.000000
0.939000,100.000000,0.100000,1800.000000
0.939000,30.000000,0.300000,4000.000000
0.939000,90.000000,0.100000,4400.000000
0.939000,100.000000,0.100000,2100.000000
0.939000,100.000000,0.200000,600.000000
0.939000,40.000000,0.300000,3300.000000
0.938000,80.000000,0.300000,1900.000000
0.938000,90.000000,0.300000,1900.000000
